weapon,fire_count,hit,damage_0_rate,distance_mean,distance_min,distance_max,HeadShot,NeckShot,TorsoShot,PelvisShot,ArmShot,LegShot,NonSpecific,player_name
Kar98k,19,0.211,0.0,84.11,1.08,234.72,0.0,0.0,2.0,0.0,2.0,0.0,0.0,qqlishi
ACE32,14,0.071,0.0,72.41,72.41,72.41,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Deartwogirl
M24,36,0.111,0.0,244.7025,70.66,412.15,1.0,0.0,3.0,0.0,0.0,0.0,0.0,Deartwogirl
Beryl M762,140,0.1,0.2631578947368421,45.52578947368421,6.09,142.52,3.0,0.0,13.0,2.0,1.0,0.0,0.0,Tiam--XiaoHaoYu
Kar98k,4,0.25,0.6666666666666666,231.14333333333335,230.51,231.68,1.0,0.0,1.0,1.0,0.0,0.0,0.0,Tiam--XiaoHaoYu
M24,7,0.286,0.0,99.93,97.45,102.41,0.0,0.0,1.0,1.0,0.0,0.0,0.0,Tiam--XiaoHaoYu
M24,15,0.4,0.0,299.80333333333334,241.79,434.48,0.0,0.0,5.0,0.0,1.0,0.0,0.0,Brother-Yise
M416,45,0.044,0.0,133.225,99.86,166.59,1.0,0.0,1.0,0.0,0.0,0.0,0.0,Brother-Yise
M416,40,0.1,0.0,83.23,60.64,112.7,1.0,0.0,3.0,0.0,0.0,0.0,0.0,RInimageB_
Mini14,8,0.0,1.0,105.87,105.87,105.87,0.0,0.0,1.0,0.0,0.0,0.0,0.0,RInimageB_
Mk12,40,0.025,0.0,93.98,93.98,93.98,0.0,0.0,1.0,0.0,0.0,0.0,0.0,A1Mg-_-
Beryl M762,37,0.027,0.0,214.94,214.94,214.94,1.0,0.0,0.0,0.0,0.0,0.0,0.0,miantiannanren
M249,63,0.016,0.0,54.08,54.08,54.08,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Qkn6
ACE32,57,0.088,0.5,45.574,19.64,83.82,1.0,0.0,9.0,0.0,0.0,0.0,0.0,oo1ioo
Frag Grenade,1,1.0,0.0,40.83,40.83,40.83,0.0,0.0,0.0,0.0,0.0,0.0,1.0,MSZ-Ban
M416,30,0.033,0.0,21.73,21.73,21.73,0.0,0.0,0.0,0.0,1.0,0.0,0.0,kaijiaw
Mini14,28,0.143,0.0,161.755,159.01,165.54,1.0,0.0,1.0,0.0,1.0,1.0,0.0,6buyaohejiu
AUG,149,0.047,0.125,61.77125,26.54,197.24,2.0,0.0,6.0,0.0,0.0,0.0,0.0,AVG_LuckDec11o_0
M16A4,18,0.278,0.0,20.312,5.58,38.64,1.0,0.0,4.0,0.0,0.0,0.0,0.0,AVG_LuckDec11o_0
Mk12,48,0.125,0.0,209.1933333333333,163.13,267.46,1.0,0.0,4.0,0.0,1.0,0.0,0.0,AVG_LuckDec11o_0
M416,47,0.064,0.0,2.373333333333333,0.82,5.47,1.0,0.0,2.0,0.0,0.0,0.0,0.0,caidiabo
Mk12,46,0.13,0.45454545454545453,84.24090909090908,14.05,238.9,2.0,0.0,3.0,1.0,1.0,4.0,0.0,caidiabo
M416,35,0.057,0.0,85.85,84.66,87.04,1.0,0.0,1.0,0.0,0.0,0.0,0.0,N2_KeGeGe
Beryl M762,141,0.021,0.0,39.58,21.7,61.98,0.0,0.0,3.0,0.0,0.0,0.0,0.0,AerYouok_HaoZhu
Thompson,40,0.125,0.6153846153846154,21.62846153846154,19.87,23.02,0.0,0.0,8.0,1.0,0.0,4.0,0.0,AerYouok_HaoZhu
ACE32,13,0.077,0.0,31.5,31.5,31.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,M4A_Yb448
Frag Grenade,2,0.5,0.0,41.6,41.6,41.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,M4A_Yb448
M24,17,0.412,0.2222222222222222,198.92333333333332,6.49,390.32,6.0,0.0,0.0,2.0,0.0,1.0,0.0,nba1374
M416,114,0.14,0.4838709677419355,23.345806451612905,1.81,73.13,14.0,0.0,6.0,4.0,0.0,7.0,0.0,nba1374
Vector,82,0.146,0.5555555555555556,30.503703703703703,22.6,52.74,25.0,0.0,2.0,0.0,0.0,0.0,0.0,HM-TC
ACE32,44,0.182,0.1111111111111111,63.11333333333333,42.32,78.39,4.0,0.0,2.0,1.0,2.0,0.0,0.0,Gfengi_0
Beryl M762,26,0.192,0.0,4.91,0.74,12.05,2.0,0.0,2.0,0.0,1.0,0.0,0.0,Gfengi_0
Frag Grenade,5,0.6,0.0,54.31666666666666,45.38,61.01,0.0,0.0,0.0,0.0,0.0,0.0,3.0,Gfengi_0
AKM,43,0.163,0.46153846153846156,36.387692307692305,21.26,45.47,1.0,0.0,8.0,1.0,0.0,3.0,0.0,AerYouok_LH
Frag Grenade,3,0.333,0.5,22.435,7.11,37.76,0.0,0.0,0.0,0.0,0.0,0.0,2.0,AerYouok_LH
P90,48,0.042,0.8,13.269,1.06,87.21,1.0,0.0,2.0,0.0,4.0,3.0,0.0,AerYouok_LH
ACE32,12,0.167,0.0,45.47,45.47,45.47,0.0,0.0,0.0,0.0,0.0,2.0,0.0,MSZ-Xxs
Beryl M762,18,0.167,0.0,12.876666666666665,12.87,12.89,1.0,0.0,1.0,0.0,1.0,0.0,0.0,suuy7520
Groza,41,0.049,0.8,17.54,6.66,60.7,3.0,0.0,5.0,1.0,1.0,0.0,0.0,suuy7520
Kar98k,11,0.182,0.7142857142857143,157.16857142857143,83.98,266.46,2.0,0.0,5.0,0.0,0.0,0.0,0.0,suuy7520
AWM,8,0.25,0.6,114.25999999999999,102.2,124.37,3.0,0.0,2.0,0.0,0.0,0.0,0.0,4AM_SuperXQMms
Beryl M762,20,0.0,1.0,20.074,19.99,20.18,1.0,0.0,2.0,0.0,0.0,2.0,0.0,4AM_SuperXQMms
Frag Grenade,5,0.8,0.2,59.778,34.24,68.21,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4AM_SuperXQMms
M24,26,0.115,0.0,208.58,114.36,267.86,2.0,0.0,1.0,0.0,0.0,0.0,0.0,4AM_SuperXQMms
M24,2,1.0,0.0,154.365,149.97,158.76,0.0,0.0,1.0,1.0,0.0,0.0,0.0,Home-Blank
M416,82,0.146,0.42857142857142855,25.115714285714283,4.19,44.15,2.0,0.0,11.0,0.0,5.0,3.0,0.0,Home-Blank
ACE32,135,0.037,0.5454545454545454,67.37363636363636,54.01,70.97,0.0,0.0,6.0,1.0,2.0,2.0,0.0,Cizzzzz9o
Frag Grenade,2,0.0,1.0,54.59,54.59,54.59,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Cizzzzz9o
Frag Grenade,2,0.5,0.0,25.81,25.81,25.81,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Aorunji-
Mini14,11,0.182,0.0,199.78,193.57,205.99,0.0,0.0,1.0,0.0,1.0,0.0,0.0,Aorunji-
Frag Grenade,2,1.0,0.0,23.96,7.02,40.9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,Lethe-1995
Kar98k,7,0.429,0.0,137.01333333333335,134.15,140.33,0.0,0.0,3.0,0.0,0.0,0.0,0.0,Lethe-1995
