user_name,user_zloa_score,user_damage
짱쎈남자,1910.06,25.83
자l민,2276.07,30.0
쀼쉐,2305.25,29.75
사냐두,2211.89,30.9
다움빡,1936.84,27.05
순간망치로한대칠뻔했네,2098.55,28.62
오더발드,1949.33,23.54
쿵쿵찍찍,2025.87,26.96
딱딱아재,2079.24,25.02
계몽실,2314.03,30.68
복도,2059.43,25.06
꼬마망치타요,2182.64,26.49
하루는정말집가고싶다,1946.44,22.96
망치라온,2163.48,28.01
나봉몬,2362.11,31.49
옥자간다잇,2030.76,28.24
랑만돈까스,2116.07,24.37
홍콩서방,2107.29,27.33
몸짱,2091.12,24.14
수학귀신,2214.56,28.94
떡매장인,2005.01,28.18
이삭먹는아이,1887.63,26.06
무랴딘,2085.36,26.85
무결입니다,2083.41,25.66
미쓰릴,2074.59,29.57
경매장,2000.37,24.1
강딩딩,2383.08,32.65
그래비티트레이닝,2142.39,4.94
토익만점세종대왕,2144.07,22.84
봉봉단장,2205.2,26.15
모코코뿅망치,2034.32,15.5
디붕곤쥬,2202.77,30.37
가오철,1792.47,22.9
한방에영혼을담아,2203.89,30.51
분쇄형물리치료사,2017.06,24.23
디트용환,2103.29,27.25
Error만들기,2116.81,28.05
봄푸르,2192.79,25.94
오인쿠,2104.81,29.69
댈츠,2113.34,29.05
랄프7,2042.15,23.1
킴순대,1843.71,25.08
청검,2006.7,24.05
내망치는달다,2294.98,29.41
뚱보잉어,2046.61,3.15
도지닝,1991.7,24.43
디붕디붕디붕디디붕이,2078.5,27.01
디스도로이어,2126.73,29.52
참철식,2271.12,27.04
헬창어르신,2132.07,27.41
두더지잡기쿵쿵쿵,1796.93,5.31
화추,2232.02,28.12
큐티섹시찌엽,2143.67,24.91
조해찬들,2095.77,28.28
함마오지죠,1966.73,26.02
삼천동핵망치,2013.24,23.85
nacgi9,1964.41,24.75
이바이바용,1939.81,3.7
아랫도리빳빳,1945.17,24.96
바지바지반바지,1958.34,26.35
거봐라내그럴줄알았다,2251.02,29.85
순두부짬뽕,1983.54,27.14
돈까쓰맨,1764.21,24.52
망치로뚜쉬,2087.43,27.21
바우와우,2084.86,26.57
효트효트,2003.34,18.05
행만,2006.67,14.56
헤머글로빈,2014.68,24.74
망침,1984.32,25.35
기껀,2014.24,23.24
볼트마,1977.75,12.53
다른키엘,1895.13,23.81
0볼베0,2285.67,24.64
의문의김해청년,2040.71,24.47
닭발과주먹밥,2035.44,26.38
하클뒤,2037.55,28.63
폭주반달곰,2035.57,21.58
KingFace,1981.49,26.98
이프파이터,2031.78,22.17
시드가이아,1609.62,5.67
구기1,1760.3,19.83
디트님은왜다리가세개에요,2237.77,28.95
농협망치남,2129.59,27.47
혀깨물,2226.69,28.42
훈이아니다,2152.63,24.77
뿟쀼뿡,2213.8,25.27
원각형,2071.74,24.22
파괴왕이규원,2265.34,29.36
이태자,2138.41,29.57
디트상어,2183.36,28.31
머갈딱딱,2300.9,25.84
이태원돈까스윙스,2275.15,29.14
강명준입니다,1937.87,26.03
안녕뚱뚱,2248.28,5.53
우리집고양이츄르를좋아해,2037.84,28.47
노인공경해줘요,2020.08,27.48
