user_name,user_damage
흑형의거대한세번째다리,28.54
리보,2.81
망치카록,27.59
스톤헤드혁,9.21
뿅망치로때릴게요,26.77
3머550kg,26.89
망치로뚜쉬,27.21
돈가스다져줄게요,24.44
큐티뽀짝망치로강타해요,25.99
헉똑톡,29.96
특급용병z,26.99
꼬리잘린파이리,27.25
아재의고무망치,23.44
돈까쓰맨,24.52
인왕산흑곰,26.19
슬기로운난민생활,23.18
박방이,25.98
디뇽소희,3.82
돈까스원툴강씨,22.2
탱커백업안옴아던짐,20.98
먹튀범,30.43
봉봉쨔,26.01
분노망치벌레,25.51
대떡,26.31
나쁜남자문성진,24.81
z거북이z,26.41
제롭디붕이,22.51
망치가나르샤,13.33
몽뀨,25.38
관급,13.35
냉동망치,24.69
뚝배기1타강사디미트리,25.33
제이슨스테이섬,8.4
무뜨씨,25.39
광활한광배근,32.4
망기덕,26.4
디트입니노,21.51
츄르딧,25.17
뻘쭘이,26.53
민욱스,26.25
텍톤,27.33
지영이꾸,26.41
우혁,26.14
큐브피시방유저2,21.49
이게디붕임,27.04
뿅망치왕뽀삐,24.62
개대물,26.15
킹에크,21.81
헤크,25.39
악마대항군,3.3
적푸,28.25
이노vation,18.48
1티어하자,28.51
디붕잉선,28.36
DestrOHyer,28.87
빡머대갈,24.62
언제까지두들기면되나요,21.81
모코코돈가스,24.88
Presscall,17.91
천휴디트,21.01
오함마돈까쓰,16.44
무자비한망치,25.41
보라냥이집사17,25.44
류연철님,5.25
디스로스터,28.24
맹치,25.17
장기백,27.25
NULL문자,28.2
불닭볶음맨,23.5
파파이사,28.53
새헨,26.64
응애나아직애기돈까스,24.04
돈까스제작자,2.68
덴준,22.58
석탄맛누텔라,28.29
토르대망치,26.83
퇴끼,25.45
디스트로이어귀찮다,28.43
송도리자몽,26.64
디붕뚝배기,26.2
봉미선주먹돌리기,28.93
포브스선정데카낭비1위,29.26
나이트오브워해머,25.38
캬악,23.05
디트초대되나요,3.61
김망치쿤,26.55
현령,21.82
손님돈까스계산안하셨어요,26.41
세우마루,24.13
눈삣디트,25.66
EZ2ON,26.83
미오미오미,17.14
미트해머장인,22.66
춘호,22.09
망치들고있는아저씨,26.41
하이후에호,27.1
막힘,27.51
환수돌,27.43
칠제로,25.61
떡잎방범대돌격대장,27.13
만고냥,27.38
동디붕,20.6
강한엉덩이,7.47
뢰슌,10.82
자치령무라딘,23.99
하떼림,28.83
사채업주,23.29
죽기트뤼,30.53
열여덟톤,28.66
돌쇠는마님을좋아해,26.69
ZnArC,27.19
사앙쾌애,27.62
흑설탕냥이,24.19
Tital,26.08
마봉디봉,24.39
한마빈,2.09
망치고든,20.33
산지직송망치,26.05
밀칸다라3세,24.86
발가락만친다,7.72
스윗빠루남,26.29
Canner,29.47
Dimidium,29.41
깐족디붕,25.89
쌍클,2.56
청은현,23.76
