weapon,fire_count,hit,damage_0_rate,distance_mean,distance_min,distance_max,HeadShot,NeckShot,TorsoShot,PelvisShot,ArmShot,LegShot,NonSpecific,player_name
Kar98k,3,0.333,0.0,45.65,45.65,45.65,0.0,0.0,1.0,0.0,0.0,0.0,0.0,M1ng_Nu
Mk12,19,0.263,0.0,148.38,143.22,159.03,1.0,0.0,3.0,0.0,1.0,0.0,0.0,M1ng_Nu
Mk14,8,0.25,0.0,200.92000000000002,105.09,296.75,1.0,0.0,0.0,0.0,1.0,0.0,0.0,M1ng_Nu
M249,109,0.009,0.8333333333333334,56.69333333333333,18.82,245.54,1.0,0.0,4.0,1.0,0.0,0.0,0.0,ilsanpikachu
AUG,69,0.174,0.2,47.132,11.58,72.22,1.0,0.0,13.0,0.0,1.0,0.0,0.0,iWoA1X1a0Tang_-
Frag Grenade,5,0.4,0.3333333333333333,37.24,32.68,40.17,0.0,0.0,0.0,0.0,0.0,0.0,3.0,iWoA1X1a0Tang_-
M249,31,0.129,0.3333333333333333,34.92333333333334,34.17,36.25,1.0,0.0,2.0,2.0,1.0,0.0,0.0,iWoA1X1a0Tang_-
Mini14,153,0.085,0.3157894736842105,183.55263157894737,98.76,384.88,5.0,0.0,5.0,0.0,2.0,7.0,0.0,iWoA1X1a0Tang_-
Frag Grenade,2,1.0,0.0,47.56,46.4,48.72,0.0,0.0,0.0,0.0,0.0,0.0,2.0,Twis_S1mple
M416,71,0.028,0.6666666666666666,31.189999999999998,25.24,50.42,3.0,0.0,0.0,1.0,1.0,1.0,0.0,Twis_S1mple
Beryl M762,63,0.032,0.0,19.845,19.82,19.87,0.0,0.0,2.0,0.0,0.0,0.0,0.0,Kill731lr
Frag Grenade,4,0.5,0.3333333333333333,35.63333333333333,0.0,63.98,0.0,0.0,0.0,0.0,0.0,0.0,3.0,Kill731lr
M24,47,0.043,0.0,273.52,267.24,279.8,1.0,0.0,1.0,0.0,0.0,0.0,0.0,Kill731lr
Beryl M762,47,0.128,0.0,55.85,45.15,71.89,3.0,0.0,3.0,0.0,0.0,0.0,0.0,iFTY_1aoWang
Frag Grenade,2,0.5,0.0,52.32,52.32,52.32,0.0,0.0,0.0,0.0,0.0,0.0,1.0,iFTY_1aoWang
Mk12,28,0.107,0.0,100.86000000000001,84.76,124.98,3.0,0.0,0.0,0.0,0.0,0.0,0.0,iFTY_1aoWang
ACE32,44,0.045,0.0,15.765,14.13,17.4,0.0,0.0,1.0,1.0,0.0,0.0,0.0,Twis_SRYrroo
Beryl M762,55,0.018,0.0,29.14,29.14,29.14,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Proud_MAN_H
Frag Grenade,2,0.5,0.5,47.275,43.76,50.79,0.0,0.0,0.0,0.0,0.0,0.0,2.0,Proud_MAN_H
Micro UZI,142,0.014,0.8823529411764706,3.077058823529412,2.66,4.59,0.0,0.0,6.0,0.0,0.0,11.0,0.0,Jay_Cyndi
Mini14,35,0.029,0.0,239.89,239.89,239.89,0.0,0.0,1.0,0.0,0.0,0.0,0.0,23-_-28
Frag Grenade,2,0.5,0.0,22.45,22.45,22.45,0.0,0.0,0.0,0.0,0.0,0.0,1.0,GoogLuck-nan
M249,8,0.125,0.0,25.78,25.78,25.78,0.0,0.0,1.0,0.0,0.0,0.0,0.0,GoogLuck-nan
Mini14,9,0.111,0.0,288.05,288.05,288.05,0.0,0.0,0.0,0.0,1.0,0.0,0.0,GoogLuck-nan
